created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri May 19 23:49:29 +0000 2023;1659707883372826626;"Stefano Cugurra Teco tidak khawatir dengan proses adaptasi Adilson Maringa. . kalau menurut kalian gimana sob ?  . #bolapelangi #bolapelangi2 #pssi #timnasindonesia #timnasfutsalindonesia #timnasu22 #persija #persib #psmmakassar #arema #SEAGames2023 https://t.co/OD1M4BGcIt";0;0;0;0;in;1659401227590045698;1659707883372826626;seputar_liga1;https://twitter.com/seputar_liga1/status/1659707883372826626
Fri May 19 23:25:21 +0000 2023;1659701806694531072;"Arema FC datangkan Ghufroni Al Ma’ruf. .  Wah ini sih mantap sob, gimana tanggapan kalian ?  . #bolapelangi #bolapelangi2 #pssi #timnasindonesia #timnasfutsalindonesia #timnasu22 #persija #persib #psmmakassar #arema #SEAGames2023 https://t.co/froBGRIBDT";0;0;0;0;in;1659401227590045698;1659701806694531072;seputar_liga1;https://twitter.com/seputar_liga1/status/1659701806694531072
Fri May 19 22:24:54 +0000 2023;1659686595036086273;"Luar biasa hasil kerja keras seluruh kontingen sea games Indonesia berhasil mendapat peringkat ketiga dan sepakbola berhasil mendapat medali emas! #bangkitbersamaET #erickmeroket #roketindo #erickthohir #botuna #seagames #pssi #timnasindonesia https://t.co/v25gnWZZVz";0;0;0;0;in;1576150511870701570;1659686595036086273;ariefalay66;https://twitter.com/ariefalay66/status/1659686595036086273
Fri May 19 22:17:14 +0000 2023;1659684666537025536;"Selamat atas keberhasilan kontingen Indonesia meraih peringkat ketiga di ajang sea games Kamboja terkhusus timnas sepakbola yang akhirnya mendapatkan medali emas #bangkitbersamaET #erickmeroket #roketindo #erickthohir #botuna #seagames  #timnasindonesia #sepakbolaindonesia #PSSI https://t.co/v9WZeV2Mb3";0;1;0;0;in;1626874431346991104;1659684666537025536;tegarwadesta;https://twitter.com/tegarwadesta/status/1659684666537025536
Fri May 19 22:12:54 +0000 2023;1659683576953307137;"72 Pegolf Bakal Hadiri Turnamen Belitung Golf Championship Series II, Wabup: Ajang Promosi Sport Tourism Belitung  Baca Selengkapnya di https://t.co/VaJmcC3mXQ  #golf  #turnamen  #PSSI  #viral https://t.co/kXX0MXumiC";0;0;0;0;in;1569322162359762945;1659683576953307137;belitongtoday;https://twitter.com/belitongtoday/status/1659683576953307137
Fri May 19 21:27:55 +0000 2023;1659672253288828929;"Jadwal Timnas Indonesia Padat Usai SEA Games 2023, PSSI Bagi Tugas Indra Sjafri dan Shin Tae-yong   https://t.co/Q49wS4qMFQ lewat @tribunkaltim   #TimnasIndonesia #TimnasDay #PSSI #IndraSjafri #ShinTaeyong";0;0;0;0;in;103551225;1659672253288828929;tribunkaltim;https://twitter.com/tribunkaltim/status/1659672253288828929
Fri May 19 18:38:54 +0000 2023;1659629719866990592;"Pelantikan Askab PSSI yang diketuai H. Haris Achmad ini dipimpin langsung oleh Sekretaris Asprov PSSI Sulsel, Ahmadi Djafri. https://t.co/OsXruHf5HE @PSSI  #askabpssisinjai #asprovpssisulsel #PSSI #sepakbola #perssinsinjai #ahmadidjafri #hajiharisachmad #sinjai https://t.co/HjRYFpI3Zp";0;0;0;0;in;844117017577758721;1659629719866990592;instingjurnalis;https://twitter.com/instingjurnalis/status/1659629719866990592
Fri May 19 17:30:00 +0000 2023;1659612382648504321;"Posisi direktur teknik PSSI tidak lagi dijabat Indra Sjafri. Nantinya, sosok asing memegang posisi tersebut yang dalam waktu dekat ini bakal diumumkan.  #PSSI #Indonesia #TimnasIndonesia  https://t.co/plu1jIMsn0";0;3;1;37;in;27197792;1659612382648504321;GOAL_ID;https://twitter.com/GOAL_ID/status/1659612382648504321
Fri May 19 16:27:30 +0000 2023;1659596652284608513;"Ketum PSSI, Erick Thohir pastikan Indra Sjafri tetap menjadi pelatih Timnas 🇮🇩 U-23 untuk Ajang Asian Games September Mendatang.  Shin Tae-yong difokuskan untuk Piala Asia 👌  #galerisepakbola #beritabola #beritabolaindonesia #PSSI https://t.co/L7GBOz8ROU";0;0;0;3;in;1588025231381516289;1659596652284608513;galeri_bola_;https://twitter.com/galeri_bola_/status/1659596652284608513
Fri May 19 16:15:00 +0000 2023;1659593505839390720;"Ketua umum PSSI Erick Thohir menegaskan kegembiraan timnas Indonesia U-22 meraih medali emas SEA Games 2023 sudah habis. Ia mau skuad Merah Putih kembali fokus untuk mempersiapkan diri di ajang lain.  #PSSI #Indonesia #TimnasIndonesia  https://t.co/lw71rq1zmE";1;1;3;48;in;27197792;1659593505839390720;GOAL_ID;https://twitter.com/GOAL_ID/status/1659593505839390720
