created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 30 23:17:22 +0000 2022;1586859839904358400;"#kafein 2 saham #shipping sudah mulai menunjukkan arah penguatan.  #SMDR #PSSI https://t.co/KVs1WfnIsF";0;0;0;3;in;606096303;1586859839904358400;kafeinvestor;https://twitter.com/kafeinvestor/status/1586859839904358400
Sun Oct 30 21:09:20 +0000 2022;1586827615633305600;"Liga Spanyol ( BolaUtama ) #SepakBolaIndonesia #ISL #PSSI";0;0;0;0;in;788684205588815872;1586827615633305600;bola_utama;https://twitter.com/bola_utama/status/1586827615633305600
Sun Oct 30 16:01:26 +0000 2022;1586750132795895808;"Satu Bulan Tragedi Kanjuruhan, Ketua Umum PSSI Iwan Bule Belum Bahagia, Ada Apa? #PSSI  #tragediKanjuruhan #kanjuruhandisaster @e100ss @InfosuporterID https://t.co/ZU7wnOayAM";0;0;0;0;in;1413176894837583877;1586750132795895808;zona_raya;https://twitter.com/zona_raya/status/1586750132795895808
Sun Oct 30 16:00:02 +0000 2022;1586749777961590784;"PSSI telah memutuskan mempercepat Kongres Luar Biasa (KLB) digelar. Mantan anggota komite etik FIFA Dali Tahir memberikan pandangan atas keputusan yang diambil federasi sepakbola Tanah Air tersebut.  #PSSI #KLB #KanjuruhanDisaster   https://t.co/0oTllFZc6h";0;1;2;7;in;27197792;1586749777961590784;GOAL_ID;https://twitter.com/GOAL_ID/status/1586749777961590784
Sun Oct 30 15:09:20 +0000 2022;1586737021946470400;"Liga Inggris EPL ( BolaUtama ) #SepakBolaIndonesia #ISL #PSSI";0;0;0;0;in;788684205588815872;1586737021946470400;bola_utama;https://twitter.com/bola_utama/status/1586737021946470400
Sun Oct 30 14:08:28 +0000 2022;1586721703526162432;"aksi suporter suarakan usut tuntas tragedi kanjuruhan 👇 https://t.co/B8FiuLeHoq  #AksiSuporter #UsutTuntas #UsutTuntasTragediKanjuruhan #TragediKanjuruhan #PSSI  #KNmaneges #KnmComunity #SaudaraJiwa #PemersatuBangsa #NkriHargaMati https://t.co/nMh4R17GVO";0;0;10;12;in;1351796465413210114;1586721703526162432;knmaneges;https://twitter.com/knmaneges/status/1586721703526162432
Sun Oct 30 13:32:10 +0000 2022;1586712569393254401;"Menpora Zainudin Amali Pastikan Pemerintah Tak Akan Ikut Campur Soal KLB PSSI #PSSI #KLB https://t.co/UM4PWskbTh";0;0;0;0;in;1575054575882551296;1586712569393254401;LatarPeristiwa;https://twitter.com/LatarPeristiwa/status/1586712569393254401
Sun Oct 30 13:30:50 +0000 2022;1586712232133820416;"Menpora: Pemerintah tak akan campuri KLB PSSI  https://t.co/gmZWAYGaKQ  #sepakbola #KLB #PSSI #UsutTuntas #UsutTragediKanjuruhan #salingsupport #bolaindonesia #tragediKanjuruhan";0;0;0;0;in;1465529152136568833;1586712232133820416;officialntv_;https://twitter.com/officialntv_/status/1586712232133820416
Sun Oct 30 11:44:24 +0000 2022;1586685449334009856;"Mochamad Iriawan Minta Kompetisi Dilanjutkan Usai KLB PSSI Dipercepat #timnasday #KLB #PSSI https://t.co/mR5wS0vUtY";0;0;1;0;in;1575054575882551296;1586685449334009856;LatarPeristiwa;https://twitter.com/LatarPeristiwa/status/1586685449334009856
Sun Oct 30 09:40:03 +0000 2022;1586654152301498368;"PSSI akan segera menggelar KLB untuk mencari sosok pengganti Ketum yang baru. Dede Yusuf ungkap kriteria calon Ketum yang baru.  #pssi https://t.co/gUHjKCF0dH";0;0;1;0;in;79130206;1586654152301498368;jpnncom;https://twitter.com/jpnncom/status/1586654152301498368
Sun Oct 30 09:01:18 +0000 2022;1586644403858599936;"Sepertinya masih harus menunggu untuk bisa kembali kesini ☕️  #gblastadium #persib #pssi #UsutTuntas @ Stadion Gelora Bandung Lautan Api https://t.co/l3oe5tY6Yo";0;0;0;0;in;2425336376;1586644403858599936;sigit_crazyp;https://twitter.com/sigit_crazyp/status/1586644403858599936
Sun Oct 30 09:00:02 +0000 2022;1586644081270091777;"PSSI Akan gelar Kongres Luar Biasa. #ThePhraseID #PSSI #Sepakbola #bola #FIFA https://t.co/mJWB9VZtmw";0;0;0;0;in;1385513704322600961;1586644081270091777;ThePhraseID;https://twitter.com/ThePhraseID/status/1586644081270091777
Sun Oct 30 07:09:29 +0000 2022;1586616264101072897;"Rapat Exco PSSI memutuskan Percepatan Kongres Biasa Pemilihan melalui mekanisme KLB via @infosumbar https://t.co/y3ixnpTfMl  #infosumbar #KLB #PSSI";0;0;0;1;in;162721676;1586616264101072897;infoSumbar;https://twitter.com/infoSumbar/status/1586616264101072897
Sun Oct 30 03:41:39 +0000 2022;1586563957560516610;"Arema FC Setuju PSSI Lakukan Percepatan KLB #AremaFC #PSSI #KLBPSSI https://t.co/q5KTvxyifR lewat @Holopis.com";0;0;0;0;in;450194792;1586563957560516610;nandaputrafbs;https://twitter.com/nandaputrafbs/status/1586563957560516610
Sun Oct 30 02:58:03 +0000 2022;1586552985420636160;"Terkait KLB, PSSI Pastikan Tidak Bakal Berdampak ke Shin Tae Yong https://t.co/2Xh5sh1exI #KLBPSSI #PSSI #ShinTaeYong #TimnasIndonesia";0;0;0;0;in;89877164;1586552985420636160;fajaronline;https://twitter.com/fajaronline/status/1586552985420636160
