created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 16 23:16:07 +0000 2023;1691952003336028389;"STY KECEWA! MAU PIALA AFF DIHAPUS HINGGA CORET PEMAIN TIMNAS INDONESIA U23  https://t.co/yHMZsIvjl3  #timnasindonesia #pssi #sty #indonesia #kitagaruda #timnasday";0;0;0;0;in;719862605972664320;1691952003336028389;muh_rafli28;https://twitter.com/muh_rafli28/status/1691952003336028389
Wed Aug 16 22:12:29 +0000 2023;1691935992201265443;"Arema FC Mundur dari BRI Liga 1 - AREMA Sebagai tim besar dengan materi pemain yang berkelas.  Berita Selengkapnya - https://t.co/Cl8NYHngtt #pssi #liga1 #liga1indonesia #aremafc #aremania https://t.co/BCkKiS6N85";0;0;0;0;in;1659401227590045698;1691935992201265443;seputar_liga1;https://twitter.com/seputar_liga1/status/1691935992201265443
Wed Aug 16 19:33:30 +0000 2023;1691895979832914142;"RANS Nusantara Sempat Terpuruk di Musim Perdana, Kini di Musim ke Duanya RANS Nusantara Bisa Bersaing di Papan Atas BRI Liga 1  Berita Selengkapnya - https://t.co/Soqcwz6az0  #ransnusantarafc #pssi #BRILiga1 #liga1 #Ligasatuindonesia1 https://t.co/LrbgdI9EiV";0;0;0;0;in;1689906567087550465;1691895979832914142;LIGA1INDON54257;https://twitter.com/LIGA1INDON54257/status/1691895979832914142
Wed Aug 16 18:52:18 +0000 2023;1691885613887401986;"Piala AFF U23 di Thailand menjadi persiapan Timnas U23 berlaga di kualifikasi AFC Asia U23 melawan China Taipei dan Turkmenistan, September nanti.  Bismillah, kita bawa #GarudaMendunia #KitaGaruda #ErickThohir #Indonesia #BUMN #PSSI #PialaDuniaU17 #FIFAWorldCup https://t.co/4JwVJ2SvoL";0;0;0;0;in;1673283507861467136;1691885613887401986;ertho_satset;https://twitter.com/ertho_satset/status/1691885613887401986
Wed Aug 16 15:57:53 +0000 2023;1691841719531376751;""Itu yang Pak Ketua PSSI sesalkan. Kami di lapangan yang sulit. Lalu, pembinaan adalah fokus kami. Mana yang lebih bagus bermain antarklub di Indonesia atau antarnegara?" ucap Indra Sjafri.  Komentar kalian, Sobat Bolacom?  #BolacomID #BLCBM #IndraSjafri #PSSI #TimnasIndonesia";0;1;0;2;in;1486284086;1691841716951888116;bolacomID;https://twitter.com/bolacomID/status/1691841719531376751
Wed Aug 16 14:56:03 +0000 2023;1691826160005795840;"Doa terbaik untuk persiapan Piala Dunia U-17 dan kesuksesan Skuad Garuda yang akan bela bangsa!  #sepakbola #pssi #sepakbolaIndonesia #erickthohir #u17 #pialadunia https://t.co/KpDOa26lB6";0;0;0;0;in;1593156160818855936;1691826160005795840;montureng;https://twitter.com/montureng/status/1691826160005795840
Wed Aug 16 14:30:39 +0000 2023;1691819766615290028;"Workshop Asprov PSSI se-Indonesia, Erick Thohir: Presiden Berpesan, Revisi Aturan APBD Digunakan Untuk Liga 3 via @infosumbar https://t.co/CX9rNLCGhG  #infosumbar #PSSI";0;0;0;0;in;162721676;1691819766615290028;infoSumbar;https://twitter.com/infoSumbar/status/1691819766615290028
Wed Aug 16 13:45:06 +0000 2023;1691808305608372636;"Piala AFF U23 di Thailand menjadi persiapan Timnas U23 berlaga di kualifikasi AFC Asia U23 melawan China Taipei dan Turkmenistan, September nanti.   #GarudaMendunia #KitaGaruda #ErickThohir #Indonesia #BUMN #PSSI #PialaDuniaU17 #FIFAWorldCup #GuyubPercaya Salma Duren Mojokerto https://t.co/hvYNvhntME";0;0;0;0;in;1673043928235515904;1691808305608372636;asterick_jabar;https://twitter.com/asterick_jabar/status/1691808305608372636
Wed Aug 16 13:29:47 +0000 2023;1691804450250281281;"Piala AFF U23 di Thailand menjadi persiapan Timnas U23 berlaga di kualifikasi AFC Asia U23 melawan China Taipei dan Turkmenistan, September nanti.  #GarudaMendunia #KitaGaruda #ErickThohir #Indonesia #BUMN #PSSI #PialaDuniaU17 #FIFAWorldCup Sarada Pak Lurah Salma Duren https://t.co/XkGE4GgaQm";0;0;0;0;in;1673340721280024576;1691804450250281281;asterick_id;https://twitter.com/asterick_id/status/1691804450250281281
Wed Aug 16 12:56:15 +0000 2023;1691796011201774024;"🗒️ @Goal_TH melaporkan, Madam Pang siap maju jadi presiden Federasi Sepakbola Thailand. ⚽️  Kami mewancarainya beberapa waktu lalu dan ia mewacanakan Indonesia &amp  Thailand jadi tuan rumah bersama Piala Dunia. 🇹🇭🤝🇮🇩  Permisi, Pak @erickthohir 😉  #Thailand #Indonesia #PSSI https://t.co/y2QY1gE76l";3;14;20;73;in;27197792;1691796011201774024;GOAL_ID;https://twitter.com/GOAL_ID/status/1691796011201774024
