created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Jun 15 19:55:35 +0000 2023;1669433489949884416;"Scaloni Jadi Biang Kerok Gagalnya Lionel Messi ke Indonesia #Argentina #FIFAMatchday #LionelMessi #LionelScaloni #PSSI  https://t.co/fZxw5tZVJj https://t.co/61VcCh7xig";0;0;0;1;in;1139396104347250688;1669433489949884416;Beritabaruco;https://twitter.com/Beritabaruco/status/1669433489949884416
Thu Jun 15 19:36:09 +0000 2023;1669428600435769344;"Shin Tae-yong: Lawan Argentina Jangan Tegang! #Argentina #LionelMessi #PSSI #ShinTaeyong #TimnasIndonesia  https://t.co/cFlrarRIhE https://t.co/288RuNpCsA";0;0;0;1;tl;1139396104347250688;1669428600435769344;Beritabaruco;https://twitter.com/Beritabaruco/status/1669428600435769344
Thu Jun 15 15:26:28 +0000 2023;1669365763965353990;"Cuma ketum sama @erickthohir yg dalam kurun waktu singkat kasih perubahan positif sepakbola Indonesia✨🥰  #erickthohir #ericksolusi #pssi #ketumpssi #sepakbola #sepakbolaindonesia #timnas #timnasday #timnasindonesia #fifa #liga1 #liga2 #liga3 #matchday #GarudaMuda #KitaGaruda https://t.co/8z8u6MyK6U";0;0;0;1;in;1593101452540809216;1669365763965353990;netizulbudiman;https://twitter.com/netizulbudiman/status/1669365763965353990
Thu Jun 15 15:10:13 +0000 2023;1669361675986960385;"Kalo soal relasi globalnya @erickthohir sih emang gak main-main! Yakin deh sepakbola Indonesia mendunia🇮🇩⚽  #erickthohir  #pssi #ketumpssi #sepakbola #sepakbolaindonesia #timnas #timnasday #timnasindonesia #fifa #liga1 #liga2 #liga3 #matchday #GarudaMuda #KitaGaruda https://t.co/kCj0smTRzD";0;0;0;1;in;1593112434084306946;1669361675986960385;WalujoRaka;https://twitter.com/WalujoRaka/status/1669361675986960385
Thu Jun 15 14:45:03 +0000 2023;1669355341421871106;"Berkat revolusi mental gagasan @erickthohir yang timnas terapin, jadi bukti sepakbola Indonesia bangkit🔥  #erickthohir #ericksolusi #pssi #ketumpssi #sepakbola #sepakbolaindonesia #timnas #timnasday #timnasindonesia #fifa #liga1 #liga2 #liga3 #matchday #GarudaMuda #KitaGaruda https://t.co/HudkwG6vzn";0;0;0;1;in;1593156160818855936;1669355341421871106;montureng;https://twitter.com/montureng/status/1669355341421871106
Thu Jun 15 14:36:29 +0000 2023;1669353188057808897;"BREAKING NEWS Bakal terhenti rekor tak terkalahkan kandang Indonesia di laga vs Argentina?  Jangan bantai banyak gol bang Messi, kasihan Witan dkk🙏😅  #BeritainBola #BeritaSepakBola #BeritaBola #PSSI #TimnasIndonesia #TimnasDay #FIFAMatchDay #ShinTaeyong  https://t.co/1cdv8lP3Bn";0;1;0;0;in;1574061914396979202;1669353188057808897;beritainbola;https://twitter.com/beritainbola/status/1669353188057808897
Thu Jun 15 14:36:03 +0000 2023;1669353078636814336;"Dalam acara ini PSSI merilis para sponsor Liga 1, Hak siar Liga 1 tetap pada Emtek Group melalui (INDOSIAR &amp  Vidio)   #galerisepakbola #beritabola #beritabolaindonesia #Liga1 #Liga1Indonesia #PSSI #PSSINow #kasusancol Witan Semriwing SD Inpres Belanda momogi Burger Pecel Rajawat https://t.co/6O3YQMsChH";0;0;0;3;in;1588025231381516289;1669353078636814336;galeri_bola_;https://twitter.com/galeri_bola_/status/1669353078636814336
Thu Jun 15 13:53:46 +0000 2023;1669342436815155202;"Ini Argentina tim inti hampir maen semua, curiga lawan indonesia pake lapis legit 🤣🤣 #TimnasIndonesia #PSSI";0;0;0;0;in;1175758855822725120;1669342436815155202;BambangSasmita9;https://twitter.com/BambangSasmita9/status/1669342436815155202
Thu Jun 15 13:48:55 +0000 2023;1669341215861669889;"Pak Erick Thohir di ajukan oleh pan untuk dampingin Prabowo atau Ganjar. #Erickthohir #ErickMerokET #RoketIndo #pssi #bumn #erickthohirforwapres #burza https://t.co/CtHD0lovQb";0;1;0;0;in;1554764541023879168;1669341215861669889;AlfaneRizky;https://twitter.com/AlfaneRizky/status/1669341215861669889
Thu Jun 15 13:46:32 +0000 2023;1669340615941955592;"Pak Erick Thohir unggul dalam hasil survey indikator politik Indonesia sebagai cawapres. #Erickthohir #ErickMerokET #RoketIndo #pssi #bumn #erickthohirforwapres https://t.co/o1OvtK3cdf";0;0;0;1;in;1554764541023879168;1669340615941955592;AlfaneRizky;https://twitter.com/AlfaneRizky/status/1669340615941955592
