created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue May 30 23:01:19 +0000 2023;1663682026812366848;"Erick Thohir sosok yang pas untuk mendampingi Ganjar Pranowo #bangkitbersamaET #erickmeroket #roketindo #erickthohir #argentina #kaesang #happyasmara #indonesia #pssi #bpjs #mantap #erdogan #garudamendunia2045 #ganjarpranowo #jokowi https://t.co/2EVLLURXxw";0;0;0;0;in;1576150511870701570;1663682026812366848;ariefalay66;https://twitter.com/ariefalay66/status/1663682026812366848
Tue May 30 22:55:31 +0000 2023;1663680566502494209;"Harus dong serius membangun sepakbola Indonesia agar lebih hebat kedepannya bisa bersaing dengan negara lain #bangkitbersamaET #erickmeroket #roketindo #erickthohir #argentina #kaesang #happyasmara #indonesia #pssi #bpjs #mantap #erdogan #garudamendunia2045 https://t.co/ev4rJAeAOW";0;0;0;0;in;1576150511870701570;1663680566502494209;ariefalay66;https://twitter.com/ariefalay66/status/1663680566502494209
Tue May 30 22:48:10 +0000 2023;1663678717913186305;"Dengan segala kinerja Erick Thohir, sangat layak untuk mendampingi Ganjar Pranowo #bangkitbersamaET #erickmeroket #roketindo #erickthohir #argentina #kaesang #happyasmara #indonesia #pssi #bpjs #mantap #erdogan #garudamendunia2045 #jokowi #ganjarpranowo #cawa-cawe https://t.co/HewxRwv66T";0;0;0;0;in;1626874431346991104;1663678717913186305;tegarwadesta;https://twitter.com/tegarwadesta/status/1663678717913186305
Tue May 30 22:46:28 +0000 2023;1663678289859469313;"Pemerintah serius membangun sepak bola Indonesia #bangkitbersamaET #erickmeroket #roketindo #erickthohir #argentina #kaesang #happyasmara #indonesia #pssi #bpjs #mantap #erdogan #garudamendunia2045 #cawa-cawe https://t.co/LaBV3pX7fX";0;0;0;0;in;1626874431346991104;1663678289859469313;tegarwadesta;https://twitter.com/tegarwadesta/status/1663678289859469313
Tue May 30 22:40:49 +0000 2023;1663676869005430785;"Erick Thohir sangat tepat untuk mendampingi Ganjar Pranowo karena pengalaman dan kinerjanya yang luar biasa di kepemimpinan Jokowi #bangkitbersamaET #erickmeroket #roketindo #erickthohir #argentina #kaesang  #indonesia #pssi #bpjs #mantap #erdogan #jokowi #GanjarPranowo https://t.co/zdbxhymPhp";0;0;0;0;in;1553078735687274496;1663676869005430785;rendytriawan88;https://twitter.com/rendytriawan88/status/1663676869005430785
Tue May 30 22:38:56 +0000 2023;1663676394524786688;"Kita harus dukung PSSI dalam membangun sepakbola Indonesia untuk lebih berprestasi #bangkitbersamaET #erickmeroket #roketindo #erickthohir #argentina #kaesang #happyasmara #indonesia #pssi #bpjs #mantap #erdogan #garudamendunia2045 #cawa-cawe https://t.co/XSRKcnDnfN";0;0;0;0;in;1553078735687274496;1663676394524786688;rendytriawan88;https://twitter.com/rendytriawan88/status/1663676394524786688
Tue May 30 22:19:03 +0000 2023;1663671390531366912;"Simpati, Komunitas Sepakbola Wartawan Galang Dana Untuk Kurnia Meiga #ErickThohir #KurniaMeiga #PSSI #TimnasIndonesia  https://t.co/8iVsHAiJkZ https://t.co/21GkbU3mT7";0;0;0;0;in;1139396104347250688;1663671390531366912;Beritabaruco;https://twitter.com/Beritabaruco/status/1663671390531366912
Tue May 30 22:14:04 +0000 2023;1663670135281041408;"Nasabah BRI Bisa Beli Tiket Timnas Indonesia Vs Argentina Lebih Awal #Argentina #BRI #ErickThohir #PSSI #TimnasIndonesia  https://t.co/usu1PkOMIB https://t.co/AZonGsOPnB";0;0;0;0;in;1139396104347250688;1663670135281041408;Beritabaruco;https://twitter.com/Beritabaruco/status/1663670135281041408
Tue May 30 21:31:31 +0000 2023;1663659425826230272;"Merpati Sports - Informasi terbaik seputar olahraga: Legenda Sepak Bola Datang Untuk Menginspirasi Pema... https://t.co/hXoyMDpbEr  #timnas #indonesia #timnasday #timnasindonesia #sepakbola #asiangames2023 #timnasu19 #timnasu23 #timnasu16 #pssi #football #jakarta #seagames https://t.co/SZGlavepT2";0;0;0;0;in;1637375439336271873;1663659425826230272;MerpatiNewsfeed;https://twitter.com/MerpatiNewsfeed/status/1663659425826230272
Tue May 30 18:45:00 +0000 2023;1663617521516265475;"Kehadiran para legenda sepakbola dunia diharapkan jadi inspirasi yang berbeda, karena mereka membeberkan latarbelakang yang menarik.  #PSSI #Indonesia #FutureGaruda  https://t.co/p7yUrkZimk";2;2;3;42;in;27197792;1663617521516265475;GOAL_ID;https://twitter.com/GOAL_ID/status/1663617521516265475
