created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri May 19 12:57:32 +0000 2023;1659543813290090497;"Lain kali kalau mau di arak pindah ke daerah saja... tuh banyak yang protes dan ngeluh macet lah, telat kerja, gaji dipotong, arak2an jam kerja.... hadeghhh.... #teruskan #PSSI #TimnasU22";0;0;0;0;in;628842415;1659543813290090497;Andi66Cahyono;https://twitter.com/Andi66Cahyono/status/1659543813290090497
Fri May 19 12:51:11 +0000 2023;1659542215172177920;"Ga nyangka ternyata pawai emas ini bener2 pecah. Salut sama supporter bola yg ikut ramein buat acara ini. Kita semua bangga!  #TerimakasihSangJuara #WelcomingGaruda #KitaGaruda #GarudaMuda #timnas #timnasday #TimnasDapatEmas #erickthohir #ericksolusi #pssi #ketumpssi #Seagames https://t.co/RyygadebI2";0;0;1;0;in;1593112434084306946;1659542215172177920;WalujoRaka;https://twitter.com/WalujoRaka/status/1659542215172177920
Fri May 19 12:40:50 +0000 2023;1659539609955749891;"Perija Jakarta Semakin Membara !! Link disini https://t.co/i5CyBngkmN  Jorji Badminton Ginting Natasha Rizki #SudirmanCup2023  PBSI Virgoun #azwhu #earthquake #SivigliaJuve #PersijaJakarta #pssi #viral #Trending #FastX #podcastandchillwithmacg #우리햄냥이를자랑합니다 #FastX_MY https://t.co/gpDFIk3pSD";0;0;0;0;in;1654512391437307905;1659539609955749891;TerkiniTimnas;https://twitter.com/TerkiniTimnas/status/1659539609955749891
Fri May 19 12:26:12 +0000 2023;1659535927927271424;"Erick Thohir Berpesan: Jangan Sampai Timnas Dipuji Terbang, Dikritik Jatuh https://t.co/9Uk2IDbHAB @erickthohir @KEMENPORA_RI  #parboaboa #SEAGames2023   #TimnasU22   #olahraga  #pssi  #menpora  #sugbk";0;0;0;0;in;1403262851142230017;1659535927927271424;parboaboa;https://twitter.com/parboaboa/status/1659535927927271424
Fri May 19 12:22:45 +0000 2023;1659535057575616513;"Macet Imbas Konvoi Timnas U-22: Netizen Kesal, Menpora Dito Minta Maaf https://t.co/02dQB2wttP @KEMENPORA_RI @PSSI  #parboaboa #SEAGames2023   #TimnasU22   #olahraga  #pssi  #menpora  #sugbk";0;0;0;0;in;1403262851142230017;1659535057575616513;parboaboa;https://twitter.com/parboaboa/status/1659535057575616513
Fri May 19 12:12:56 +0000 2023;1659532589919764480;"Mari membangun bangsa melalui BUMN. #erickthohir #pssi #bumn https://t.co/ZVL9gsT3se";0;0;0;0;in;1554764541023879168;1659532589919764480;AlfaneRizky;https://twitter.com/AlfaneRizky/status/1659532589919764480
Fri May 19 12:10:55 +0000 2023;1659532080999731200;"Siapa yg tadi pagi hadir di sini guy? Sumpah pecah abis acara ini. Merinding gue🔥  #TerimakasihSangJuara #WelcomingGaruda #KitaGaruda #GarudaMuda #timnas #timnasday #timnasindonesia #TimnasDapatEmas #erickthohir #ericksolusi #pssi #ketumpssi #SeaGames #SeaGames2023 #sepakbola https://t.co/RvZjBx9lvx";0;0;0;0;in;1593156160818855936;1659532080999731200;montureng;https://twitter.com/montureng/status/1659532080999731200
Fri May 19 12:10:08 +0000 2023;1659531885620662273;"Di sepakbola harus ber nyali !!! , BUMN? Harus utamakan akhlak. #erickthohir #pssi #bumn https://t.co/wsTG8IqQeW";0;0;0;0;in;1554764541023879168;1659531885620662273;AlfaneRizky;https://twitter.com/AlfaneRizky/status/1659531885620662273
Fri May 19 12:08:44 +0000 2023;1659531533525581825;"Di sepakbola harus ber nyali !!! , BUMN? Harus utamakan akhlak. #erickthohir #pssi #bumn https://t.co/hWKud9sIRj";0;0;0;0;in;1643770232023162880;1659531533525581825;RioRahm4n;https://twitter.com/RioRahm4n/status/1659531533525581825
Fri May 19 11:40:45 +0000 2023;1659524491729567745;"Selamat kepada #PSSI dan @erickthohir atas keberhasilan Indonesia meraih emas di asean games. https://t.co/Ob5yz14vDy";0;1;0;1;in;1578726792772263936;1659524491729567745;SimsonCipto;https://twitter.com/SimsonCipto/status/1659524491729567745
