created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 04 23:24:40 +0000 2022;1577439589664686080;"Liga 1 Dihentikan Sampai Pemerintah Dapatkan Hasil Evaluasi  https://t.co/Y9N2l3W4lU  #sepakbola #PSSI #Liga1 #dihentikan #evaluasi #ligaindonesia #bola #TragediKanjuruhan  #SepakbolaIndonesiaBerduka";0;0;0;0;in;1465529152136568833;1577439589664686080;officialntv_;https://twitter.com/officialntv_/status/1577439589664686080
Tue Oct 04 23:18:42 +0000 2022;1577438091161530368;"Komdis PSSI Beberkan 3 Putusan Sanksi untuk Arema FC Soal Tragedi Kanjuruhan #AremaFC #TragediKanjuruhan #KanjuruhanBerdukaCita #PSSI #stadionkanjuruhan https://t.co/yEZSGhp1GG lewat @Holopis.com";0;0;0;0;in;450194792;1577438091161530368;nandaputrafbs;https://twitter.com/nandaputrafbs/status/1577438091161530368
Tue Oct 04 22:39:45 +0000 2022;1577428288729157632;"Aksi Solidaritas Tragedi Kanjuruhan, Ribuan Suporter Sepak Bola di Ngawi Doa Bersama | #Malang #poldajatim #pssi https://t.co/kJzgVuMHYl - Berita Terkini - Cepat, Lugas dan Akurat https://t.co/V9CJpzS0u2";0;0;0;1;in;78917504;1577428288729157632;SandyUtamma;https://twitter.com/SandyUtamma/status/1577428288729157632
Tue Oct 04 22:36:56 +0000 2022;1577427577387765760;"Tragedi Kanjuruhan Bukan Kesalahan Satu Pihak, IPI: Stop Sudutkan Polisi  #poldajatim #pssi #mabespolri #malang https://t.co/1OavgnEr8M";0;0;0;0;in;78917504;1577427577387765760;SandyUtamma;https://twitter.com/SandyUtamma/status/1577427577387765760
Tue Oct 04 22:13:08 +0000 2022;1577421587757793281;"Insan Sepak Bola Buleleng Diajak Ambil Pelajaran dari Tragedi Kanjuruhan  #Arema #AskabPSSI #GedeSuyasa #Persebaya #PSSI #SepakBola  https://t.co/bKF04oUM61 https://t.co/vQOq5PBNUn";0;0;0;0;in;1502906711966830595;1577421587757793281;Baliportal_news;https://twitter.com/Baliportal_news/status/1577421587757793281
Tue Oct 04 22:11:17 +0000 2022;1577421122387136512;"PSSI Siapkan Format Baru Demi Keamanan Atas Perintah Presiden Jokowi #PSSI #stadionkanjuruhan #KanjuruhanBerdukaCita https://t.co/9E5SRlcH2X lewat @Holopis.com";0;0;0;0;in;450194792;1577421122387136512;nandaputrafbs;https://twitter.com/nandaputrafbs/status/1577421122387136512
Tue Oct 04 21:13:37 +0000 2022;1577406613002260480;"Tak banyak pesan saya untuk bpk" yang berseragam hijau atau coklat, kalian dipersenjatai lengkap bukan untuk membantai rakyat sipil!!!  #PolisiSemakinBrutal #PolisiBonekaOligarki #polisiindonesia #PSSI #PSSIWajibTanggungJawab #JokowiHebat #JokowiBapakInfrastruktur #JokowiMendunia";0;0;0;0;in;1280410642571096064;1577406613002260480;Al_fath9;https://twitter.com/Al_fath9/status/1577406613002260480
Tue Oct 04 18:13:46 +0000 2022;1577361351952846849;"Ternyata yang ada kegiatan masal bukan hanya sunatan masal dan nikah masal, tapi pemmbunuhan masal pun ada.   #KanjuruhanBerdukaCita #KanjuruhanStadium #aremania #PSSI #Malang";0;0;0;1;in;1099902507797569538;1577361351952846849;Pendekartempee;https://twitter.com/Pendekartempee/status/1577361351952846849
Tue Oct 04 16:54:00 +0000 2022;1577341275107250176;"Komite Disiplin (Komdis) PSSI menjatuhkan sanksi berat kepada Arema FC.  #bolaskorcom #pssi #aremafc #liga1    https://t.co/0WeNpas9XS";0;0;0;0;in;940477788959555584;1577341275107250176;bolaskorcom;https://twitter.com/bolaskorcom/status/1577341275107250176
Tue Oct 04 16:51:21 +0000 2022;1577340610457272320;"Ada yg aneh sih,tragedi Kanjuruhan ini terjadi di saat Indonesia akan melaksanakan event besar sepakbola dunia piala dunia yunior dan prestasi timnas Indonesia yg terus membaik.turut berbela sungkawa utk para korban tragedi ini #save #pssi #afc #FIFA23";0;0;0;1;in;1485062506830008320;1577340610457272320;ThonyGhany75;https://twitter.com/ThonyGhany75/status/1577340610457272320
Tue Oct 04 15:41:00 +0000 2022;1577322904261459969;"PSSI menjatuhkan sanksi denda kepada klub Arema FC sebesar Rp 250 juta.  #merahputihcom #PSSI #AremaFC #Kanjuruhan #PrayForKanjuruhan   https://t.co/J0o0KSb0Tu";0;0;0;1;in;2714869507;1577322904261459969;newsmerahputih;https://twitter.com/newsmerahputih/status/1577322904261459969
Tue Oct 04 15:28:17 +0000 2022;1577319704510664704;"💙❤💚PSIM-Yogyakarta  #PrayForKanjuruhan #KanjuruhanBerdukaCita #stadionmandalakrida #PSSIWajibTanggungJawab #PSSI https://t.co/vyKSkZi88C";0;1;0;0;in;1497573506980081669;1577319704510664704;jhun_galis;https://twitter.com/jhun_galis/status/1577319704510664704
Tue Oct 04 15:15:12 +0000 2022;1577316413232095232;""Kami temukan ada kelalaian dari Panpel atau pelaksana pertandingan terutama security officer atau steward," ujarnya.  Baca: https://t.co/NKAp92vUgf.  #JatimNow #pssi #s...... https://t.co/Juz1RswiR9";0;0;0;0;in;1346374027690921986;1577316413232095232;PakrwCom;https://twitter.com/PakrwCom/status/1577316413232095232
